emp_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
100297,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P
100321,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P
100323,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
100351,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P
100354,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P
100369,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P
100374,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P
100411,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P
100415,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P
100444,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P
100336,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P
100341,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P
